heading pitch roll
Heading: 100.2, Pitch: -1.5, Roll: 1.3
Heading: 100.2, Pitch: -1.5, Roll: 1.3
Heading: 100.1, Pitch: -1.3, Roll: 1.5
Heading: 100.1, Pitch: -1.3, Roll: 1.5
Heading: 99.9, Pitch: -1.1, Roll: 1.6
Heading: 99.9, Pitch: -1.1, Roll: 1.6
Heading: 100, Pitch: -1.3, Roll: 1.7
Heading: 100, Pitch: -1.3, Roll: 1.7
Heading: 100.1, Pitch: -1.5, Roll: 1.6
Heading: 100.1, Pitch: -1.5, Roll: 1.6
Heading: 100.1, Pitch: -1.6, Roll: 1.3
Heading: 100.1, Pitch: -1.6, Roll: 1.3
Heading: 100, Pitch: -1.6, Roll: 1.6
Heading: 100, Pitch: -1.6, Roll: 1.6
Heading: 100, Pitch: -1.5, Roll: 1.5
Heading: 100, Pitch: -1.5, Roll: 1.5
Heading: 100.2, Pitch: -1.3, Roll: 1.3
Heading: 100.2, Pitch: -1.3, Roll: 1.3
Heading: 100.2, Pitch: -1.2, Roll: 1.4
Heading: 100.2, Pitch: -1.2, Roll: 1.4
Heading: 100.1, Pitch: -1.6, Roll: 1.7
Heading: 100.1, Pitch: -1.6, Roll: 1.7
Heading: 100.3, Pitch: -1.3, Roll: 1.3
Heading: 100.3, Pitch: -1.3, Roll: 1.3
Heading: 100.1, Pitch: -1.5, Roll: 1.5
Heading: 100.1, Pitch: -1.5, Roll: 1.5
Heading: 100.2, Pitch: -1.5, Roll: 1.4
Heading: 100.2, Pitch: -1.5, Roll: 1.4
Heading: 100.2, Pitch: -1.7, Roll: 1.4
Heading: 100.2, Pitch: -1.7, Roll: 1.4
Heading: 100.2, Pitch: -1.4, Roll: 1.3
Heading: 100.2, Pitch: -1.4, Roll: 1.3
Heading: 100, Pitch: -1.5, Roll: 1.6
Heading: 100, Pitch: -1.5, Roll: 1.6
Heading: 100.2, Pitch: -1.6, Roll: 1.5
Heading: 100.2, Pitch: -1.6, Roll: 1.5
Heading: 100.3, Pitch: -1.3, Roll: 1.3
Heading: 100.3, Pitch: -1.3, Roll: 1.3
Heading: 100.2, Pitch: -1.6, Roll: 1.3
Heading: 100.2, Pitch: -1.6, Roll: 1.3
Heading: 100.2, Pitch: -1.5, Roll: 1.5
Heading: 100.2, Pitch: -1.5, Roll: 1.5
Heading: 100, Pitch: -1.4, Roll: 1.5
Heading: 100, Pitch: -1.4, Roll: 1.5
Heading: 100.3, Pitch: -1.7, Roll: 1.3
Heading: 100.3, Pitch: -1.7, Roll: 1.3
Heading: 100.2, Pitch: -1.4, Roll: 1.3
Heading: 100.2, Pitch: -1.4, Roll: 1.3
Heading: 100.1, Pitch: -1.6, Roll: 1.3
Heading: 100.1, Pitch: -1.6, Roll: 1.3
Heading: 100.1, Pitch: -1.5, Roll: 1.3
Heading: 100.1, Pitch: -1.5, Roll: 1.3
Heading: 100.3, Pitch: -1.5, Roll: 1.3
Heading: 100.3, Pitch: -1.5, Roll: 1.3
Heading: 100.2, Pitch: -1.3, Roll: 1.4
Heading: 100.2, Pitch: -1.3, Roll: 1.4
Heading: 100.1, Pitch: -1.5, Roll: 1.3
Heading: 100.1, Pitch: -1.5, Roll: 1.3
Heading: 100.2, Pitch: -1.7, Roll: 1.2
Heading: 100.2, Pitch: -1.7, Roll: 1.2
Heading: 100.1, Pitch: -1.6, Roll: 1.5
Heading: 100.2, Pitch: -1.3, Roll: 1.2
Heading: 100.2, Pitch: -1.3, Roll: 1.2
Heading: 100.1, Pitch: -1.8, Roll: 1.6
Heading: 100.1, Pitch: -1.8, Roll: 1.6
Heading: 100.2, Pitch: -1.4, Roll: 1.3
Heading: 100.2, Pitch: -1.4, Roll: 1.3
Heading: 100.3, Pitch: -1.6, Roll: 1.3
Heading: 100.3, Pitch: -1.6, Roll: 1.3
Heading: 100.2, Pitch: -1.5, Roll: 1.4
Heading: 100.2, Pitch: -1.5, Roll: 1.4
Heading: 100.1, Pitch: -1.3, Roll: 1.3
Heading: 100.1, Pitch: -1.3, Roll: 1.3
Heading: 100.1, Pitch: -1.3, Roll: 1.3
Heading: 100.1, Pitch: -1.3, Roll: 1.3
Heading: 100.1, Pitch: -1.6, Roll: 1.5
Heading: 100.1, Pitch: -1.6, Roll: 1.5
Heading: 100.1, Pitch: -1.5, Roll: 1.5
Heading: 100.1, Pitch: -1.5, Roll: 1.5
Heading: 100.2, Pitch: -1.4, Roll: 1.5
Heading: 100.2, Pitch: -1.4, Roll: 1.5
Heading: 100, Pitch: -1.3, Roll: 1.7
Heading: 100, Pitch: -1.3, Roll: 1.7
Heading: 100.1, Pitch: -1.5, Roll: 1.5
Heading: 100.1, Pitch: -1.5, Roll: 1.5
Heading: 100, Pitch: -1.5, Roll: 1.6
Heading: 100, Pitch: -1.5, Roll: 1.6
Heading: 100.2, Pitch: -1.7, Roll: 1.4
Heading: 100.2, Pitch: -1.7, Roll: 1.4
Heading: 100.1, Pitch: -1.6, Roll: 1.5
Heading: 100.1, Pitch: -1.6, Roll: 1.5
Heading: 100, Pitch: -1.6, Roll: 1.5
Heading: 100, Pitch: -1.6, Roll: 1.5
Heading: 100.2, Pitch: -1.6, Roll: 1.4
Heading: 100.2, Pitch: -1.6, Roll: 1.4
Heading: 100.2, Pitch: -1.7, Roll: 1.4
Heading: 100.2, Pitch: -1.7, Roll: 1.4
Heading: 100.2, Pitch: -1.5, Roll: 1.3
Heading: 100.2, Pitch: -1.5, Roll: 1.3
Heading: 100.1, Pitch: -1.5, Roll: 1.5
Heading: 100.1, Pitch: -1.5, Roll: 1.5
Heading: 100.2, Pitch: -1.5, Roll: 1.3
Heading: 100.2, Pitch: -1.5, Roll: 1.3
Heading: 100, Pitch: -1.4, Roll: 1.6
Heading: 100, Pitch: -1.4, Roll: 1.6
Heading: 100.1, Pitch: -1.6, Roll: 1.5
Heading: 100.1, Pitch: -1.6, Roll: 1.5
Heading: 100.2, Pitch: -1.5, Roll: 1.3
Heading: 100.2, Pitch: -1.5, Roll: 1.3
Heading: 100.2, Pitch: -1.7, Roll: 1.4
Heading: 100.2, Pitch: -1.7, Roll: 1.4
Heading: 100.2, Pitch: -1.5, Roll: 1.4
Heading: 100.2, Pitch: -1.5, Roll: 1.4
Heading: 100.1, Pitch: -1.6, Roll: 1.7
Heading: 100.1, Pitch: -1.6, Roll: 1.7
Heading: 100.2, Pitch: -1.5, Roll: 1.6
Heading: 100.2, Pitch: -1.5, Roll: 1.6
Heading: 100.3, Pitch: -1.4, Roll: 1.3
Heading: 100.3, Pitch: -1.4, Roll: 1.3
Heading: 100.3, Pitch: -1.5, Roll: 1.3
Heading: 100.3, Pitch: -1.5, Roll: 1.3
Heading: 100, Pitch: -1.2, Roll: 1.8
Heading: 100, Pitch: -1.2, Roll: 1.8
Heading: 100.1, Pitch: -1.7, Roll: 1.6
Heading: 100.1, Pitch: -1.7, Roll: 1.6
Heading: 100.1, Pitch: -1.4, Roll: 1.6
Heading: 100.1, Pitch: -1.4, Roll: 1.6
Heading: 100.3, Pitch: -1.6, Roll: 1.3
Heading: 100.3, Pitch: -1.6, Roll: 1.3
Heading: 100.3, Pitch: -1.3, Roll: 1.3
Heading: 100.3, Pitch: -1.3, Roll: 1.3
Heading: 100.3, Pitch: -1.5, Roll: 1.4
Heading: 100.3, Pitch: -1.5, Roll: 1.4
Heading: 100.2, Pitch: -1.6, Roll: 1.3
Heading: 100.2, Pitch: -1.6, Roll: 1.3
Heading: 100.2, Pitch: -1.3, Roll: 1.5
Heading: 100.2, Pitch: -1.3, Roll: 1.5
Heading: 100.3, Pitch: -1.3, Roll: 1.2
Heading: 100.3, Pitch: -1.3, Roll: 1.2
Heading: 100.2, Pitch: -1.6, Roll: 1.4
Heading: 100.2, Pitch: -1.6, Roll: 1.4
Heading: 100.2, Pitch: -1.3, Roll: 1.5
Heading: 100.2, Pitch: -1.3, Roll: 1.5
Heading: 100.2, Pitch: -1.5, Roll: 1.5
Heading: 100.2, Pitch: -1.5, Roll: 1.5
Heading: 100.1, Pitch: -1.5, Roll: 1.5
Heading: 100.1, Pitch: -1.5, Roll: 1.5
Heading: 100.1, Pitch: -1.5, Roll: 1.5
Heading: 100.1, Pitch: -1.5, Roll: 1.5
Heading: 100.3, Pitch: -1.5, Roll: 1.2
Heading: 100, Pitch: -1.3, Roll: 1.6
Heading: 100, Pitch: -1.3, Roll: 1.6
Heading: 100.1, Pitch: -1.8, Roll: 1.5
Heading: 100.1, Pitch: -1.8, Roll: 1.5
Heading: 100.1, Pitch: -1.3, Roll: 1.6
Heading: 100.1, Pitch: -1.3, Roll: 1.6
Heading: 100.3, Pitch: -1.5, Roll: 1.2
Heading: 100.3, Pitch: -1.5, Roll: 1.2
Heading: 100.1, Pitch: -1.5, Roll: 1.5
Heading: 100.1, Pitch: -1.5, Roll: 1.5
Heading: 100.2, Pitch: -1.2, Roll: 1.2
Heading: 100.2, Pitch: -1.2, Roll: 1.2
Heading: 100.3, Pitch: -1.8, Roll: 1.1
Heading: 100.3, Pitch: -1.8, Roll: 1.1
Heading: 100.1, Pitch: -1.6, Roll: 1.5
Heading: 100.1, Pitch: -1.6, Roll: 1.5
Heading: 100, Pitch: -1.6, Roll: 1.6
Heading: 100, Pitch: -1.6, Roll: 1.6
Heading: 100.3, Pitch: -1.6, Roll: 1.3
Heading: 100.3, Pitch: -1.6, Roll: 1.3
Heading: 100.3, Pitch: -1.3, Roll: 1.3
Heading: 100.3, Pitch: -1.3, Roll: 1.3
Heading: 100.2, Pitch: -1.5, Roll: 1.5
Heading: 100.2, Pitch: -1.5, Roll: 1.5
Heading: 100.4, Pitch: -1.7, Roll: 1.2
Heading: 100.4, Pitch: -1.7, Roll: 1.2
Heading: 100.4, Pitch: -1.3, Roll: 1.4
Heading: 100.4, Pitch: -1.3, Roll: 1.4
Heading: 100.4, Pitch: -1.5, Roll: 1.3
Heading: 100.4, Pitch: -1.5, Roll: 1.3
Heading: 100.2, Pitch: -1.6, Roll: 1.4
Heading: 100.2, Pitch: -1.6, Roll: 1.4
Heading: 100.3, Pitch: -1.5, Roll: 1.4
Heading: 100.3, Pitch: -1.5, Roll: 1.4
Heading: 100.3, Pitch: -1.5, Roll: 1.3
Heading: 100.3, Pitch: -1.5, Roll: 1.3
Heading: 100.2, Pitch: -1.3, Roll: 1.4
Heading: 100.2, Pitch: -1.3, Roll: 1.4
Heading: 100.2, Pitch: -1.5, Roll: 1.6
Heading: 100.2, Pitch: -1.5, Roll: 1.6
Heading: 100.3, Pitch: -1.7, Roll: 1.1
Heading: 100.3, Pitch: -1.7, Roll: 1.1
Heading: 99.9, Pitch: -1.4, Roll: 1.5
Heading: 99.9, Pitch: -1.4, Roll: 1.5
Heading: 99.5, Pitch: -1.6, Roll: 1.5
Heading: 99.5, Pitch: -1.6, Roll: 1.5
Heading: 99, Pitch: -2.1, Roll: 1.9
Heading: 99, Pitch: -2.1, Roll: 1.9
Heading: 99.5, Pitch: -1.4, Roll: 1.4
Heading: 99.5, Pitch: -1.4, Roll: 1.4
Heading: 99.9, Pitch: -1.4, Roll: 1.3
