Port: /dev/ttyACM0
Baud: 115200
Is the serial port open? Yes.
Heading: 19.8, Pitch: -1.1, Roll: 1.3
First byte not start byte, discard it...
First byte not start byte, discard it...
First byte not start byte, discard it...
First byte not start byte, discard it...
Heading: 20.2, Pitch: -0.8, Roll: 1.4
Heading: 20.2, Pitch: -0.8, Roll: 1.4
Heading: 20.6, Pitch: -1, Roll: 1.1
Heading: 20.7, Pitch: -0.7, Roll: 1.2
Heading: 20.7, Pitch: -0.7, Roll: 1.2
Heading: 20.1, Pitch: -1, Roll: 1.5
Heading: 20.1, Pitch: -1, Roll: 1.5
Heading: 20.3, Pitch: -0.7, Roll: 1.5
Heading: 20.3, Pitch: -0.7, Roll: 1.5
Heading: 20.8, Pitch: -0.8, Roll: 1.3
Heading: 20.8, Pitch: -0.8, Roll: 1.3
Heading: 20.3, Pitch: -0.8, Roll: 1.5
Heading: 20.3, Pitch: -0.8, Roll: 1.5
Heading: 20.4, Pitch: -1, Roll: 1.3
Heading: 20.4, Pitch: -1, Roll: 1.3
Heading: 20.6, Pitch: -0.9, Roll: 1
Heading: 20.6, Pitch: -0.9, Roll: 1
Heading: 20.6, Pitch: -0.8, Roll: 1.2
Heading: 20.6, Pitch: -0.8, Roll: 1.2
Heading: 20.1, Pitch: -1.1, Roll: 1.2
Heading: 20.1, Pitch: -1.1, Roll: 1.2
Heading: 20, Pitch: -0.9, Roll: 1.2
Heading: 20, Pitch: -0.9, Roll: 1.2
Heading: 20.8, Pitch: -0.8, Roll: 1.2
Heading: 20.8, Pitch: -0.8, Roll: 1.2
Heading: 20.2, Pitch: -0.7, Roll: 1.1
Heading: 20.2, Pitch: -0.7, Roll: 1.1
Heading: 20, Pitch: -1, Roll: 1.5
Heading: 20, Pitch: -1, Roll: 1.5
Heading: 20.8, Pitch: -0.7, Roll: 1.4
Heading: 20.8, Pitch: -0.7, Roll: 1.4
Heading: 20.3, Pitch: -1, Roll: 1.3
Heading: 20.3, Pitch: -1, Roll: 1.3
Heading: 20.3, Pitch: -0.8, Roll: 1.4
Heading: 20.3, Pitch: -0.8, Roll: 1.4
Heading: 20.6, Pitch: -0.9, Roll: 1
Heading: 20.6, Pitch: -0.9, Roll: 1
Heading: 20.7, Pitch: -0.7, Roll: 0.8
Heading: 20.7, Pitch: -0.7, Roll: 0.8
Heading: 20.1, Pitch: -1.1, Roll: 1.4
Heading: 20.1, Pitch: -1.1, Roll: 1.4
Heading: 20.1, Pitch: -1, Roll: 1.2
Heading: 20.1, Pitch: -1, Roll: 1.2
Heading: 20, Pitch: -0.8, Roll: 1.3
Heading: 20, Pitch: -0.8, Roll: 1.3
Heading: 20.4, Pitch: -0.7, Roll: 1.4
Heading: 20.4, Pitch: -0.7, Roll: 1.4
Heading: 20.3, Pitch: -0.7, Roll: 1.5
Heading: 20.3, Pitch: -0.7, Roll: 1.5
Heading: 20.2, Pitch: -0.9, Roll: 1.7
Heading: 20.2, Pitch: -0.9, Roll: 1.7
Heading: 19.9, Pitch: -0.7, Roll: 1.4
Heading: 19.9, Pitch: -0.7, Roll: 1.4
Heading: 20.3, Pitch: -0.7, Roll: 1.4
Heading: 20.3, Pitch: -0.7, Roll: 1.4
Heading: 20.4, Pitch: -1, Roll: 1.5
Heading: 20.4, Pitch: -1, Roll: 1.5
Heading: 20.5, Pitch: -0.7, Roll: 1.3
Heading: 20.5, Pitch: -0.7, Roll: 1.3
Heading: 20.6, Pitch: -0.9, Roll: 1.5
Heading: 20.6, Pitch: -0.9, Roll: 1.5
Heading: 20.3, Pitch: -0.8, Roll: 1.5
Heading: 20.3, Pitch: -0.8, Roll: 1.5
Heading: 20.1, Pitch: -1.2, Roll: 1.5
Heading: 20.1, Pitch: -1.2, Roll: 1.5
Heading: 21, Pitch: -0.5, Roll: 1.3
Heading: 21, Pitch: -0.5, Roll: 1.3
Heading: 20.4, Pitch: -0.9, Roll: 1.5
Heading: 20.4, Pitch: -0.9, Roll: 1.5
Heading: 20.3, Pitch: -0.8, Roll: 1.6
Heading: 20.3, Pitch: -0.8, Roll: 1.6
Heading: 20.2, Pitch: -0.8, Roll: 1.3
Heading: 20.2, Pitch: -0.8, Roll: 1.3
Heading: 19.9, Pitch: -1, Roll: 1.3
Heading: 19.9, Pitch: -1, Roll: 1.3
Heading: 20.5, Pitch: -0.7, Roll: 1.5
Heading: 20.5, Pitch: -0.7, Roll: 1.5
Heading: 20.6, Pitch: -0.8, Roll: 1.3
Heading: 20.6, Pitch: -0.8, Roll: 1.3
Heading: 19.9, Pitch: -1, Roll: 1.6
Heading: 19.9, Pitch: -1, Roll: 1.6
Heading: 20.7, Pitch: -0.9, Roll: 1.5
Heading: 20.7, Pitch: -0.9, Roll: 1.5
Heading: 20.2, Pitch: -0.9, Roll: 1.2
Heading: 20.2, Pitch: -0.9, Roll: 1.2
Heading: 20.3, Pitch: -1.1, Roll: 1.3
Heading: 20.3, Pitch: -1.1, Roll: 1.3
Heading: 20, Pitch: -0.8, Roll: 1.6
Heading: 20.4, Pitch: -1, Roll: 1.4
Heading: 20.4, Pitch: -1, Roll: 1.4
Heading: 20.5, Pitch: -0.8, Roll: 1.3
Heading: 20.5, Pitch: -0.8, Roll: 1.3
Heading: 20.7, Pitch: -0.9, Roll: 1.5
Heading: 20.7, Pitch: -0.9, Roll: 1.5
Heading: 20.4, Pitch: -0.8, Roll: 1.6
Heading: 20.4, Pitch: -0.8, Roll: 1.6
Heading: 20, Pitch: -0.9, Roll: 1.6
Heading: 20, Pitch: -0.9, Roll: 1.6
Heading: 20.1, Pitch: -1.1, Roll: 1.1
Heading: 20.1, Pitch: -1.1, Roll: 1.1
Heading: 21, Pitch: -0.7, Roll: 1.5
Heading: 21, Pitch: -0.7, Roll: 1.5
Heading: 20.3, Pitch: -1, Roll: 1.4
Heading: 20.3, Pitch: -1, Roll: 1.4
Heading: 20.7, Pitch: -0.9, Roll: 1.1
Heading: 20.7, Pitch: -0.9, Roll: 1.1
Heading: 20.3, Pitch: -1, Roll: 1.1
Heading: 20.3, Pitch: -1, Roll: 1.1
Heading: 20.4, Pitch: -0.6, Roll: 1.3
Heading: 20.4, Pitch: -0.6, Roll: 1.3
Heading: 20.3, Pitch: -1.1, Roll: 1.1
Heading: 20.3, Pitch: -1.1, Roll: 1.1
Heading: 20.4, Pitch: -0.8, Roll: 1.2
Heading: 20.4, Pitch: -0.8, Roll: 1.2
Heading: 20, Pitch: -1.1, Roll: 1.2
Heading: 20, Pitch: -1.1, Roll: 1.2
Heading: 21.1, Pitch: -0.8, Roll: 1.5
Heading: 21.1, Pitch: -0.8, Roll: 1.5
Heading: 20, Pitch: -1, Roll: 1.1
Heading: 20, Pitch: -1, Roll: 1.1
Heading: 20.3, Pitch: -0.8, Roll: 1.6
Heading: 20.3, Pitch: -0.8, Roll: 1.6
Heading: 19.7, Pitch: -1.2, Roll: 1.4
Heading: 19.7, Pitch: -1.2, Roll: 1.4
Heading: 20.3, Pitch: -0.5, Roll: 1.3
Heading: 20.3, Pitch: -0.5, Roll: 1.3
Heading: 19.8, Pitch: -1, Roll: 1.5
Heading: 19.8, Pitch: -1, Roll: 1.5
Heading: 20, Pitch: -1, Roll: 1.1
Heading: 20, Pitch: -1, Roll: 1.1
Heading: 19.8, Pitch: -0.9, Roll: 1.2
Heading: 19.8, Pitch: -0.9, Roll: 1.2
Heading: 19.9, Pitch: -0.7, Roll: 1.2
Heading: 19.9, Pitch: -0.7, Roll: 1.2
Heading: 20.1, Pitch: -1, Roll: 1.5
Heading: 20.1, Pitch: -1, Roll: 1.5
Heading: 20.4, Pitch: -0.8, Roll: 1.2
Heading: 20.4, Pitch: -0.8, Roll: 1.2
Heading: 20.5, Pitch: -0.9, Roll: 1.2
Heading: 20.5, Pitch: -0.9, Roll: 1.2
Heading: 20.3, Pitch: -0.9, Roll: 1.4
Heading: 20.3, Pitch: -0.9, Roll: 1.4
Heading: 20.3, Pitch: -1, Roll: 1.1
Heading: 20.3, Pitch: -1, Roll: 1.1
Heading: 20, Pitch: -0.9, Roll: 1.3
Heading: 20, Pitch: -0.9, Roll: 1.3
Heading: 19.9, Pitch: -0.9, Roll: 1.3
Heading: 19.9, Pitch: -0.9, Roll: 1.3
Heading: 20.1, Pitch: -0.8, Roll: 1.5
Heading: 20.1, Pitch: -0.8, Roll: 1.5
Heading: 20.4, Pitch: -0.9, Roll: 1.3
Heading: 20.4, Pitch: -0.9, Roll: 1.3
Heading: 20.1, Pitch: -1, Roll: 1.1
Heading: 20.1, Pitch: -1, Roll: 1.1
Heading: 20.5, Pitch: -0.8, Roll: 1.2
Heading: 20.5, Pitch: -0.8, Roll: 1.2
Heading: 20.3, Pitch: -0.7, Roll: 1.7
Heading: 20.3, Pitch: -0.7, Roll: 1.7
Heading: 20.2, Pitch: -1, Roll: 1.2
Heading: 20.2, Pitch: -1, Roll: 1.2
Heading: 20.5, Pitch: -0.9, Roll: 1.2
Heading: 20.5, Pitch: -0.9, Roll: 1.2
Heading: 20.4, Pitch: -0.8, Roll: 1.2
Heading: 20.4, Pitch: -0.8, Roll: 1.2
Heading: 20.8, Pitch: -0.8, Roll: 1.1
Heading: 20.8, Pitch: -0.8, Roll: 1.1
Heading: 20.3, Pitch: -0.9, Roll: 1.1
Heading: 20.3, Pitch: -0.9, Roll: 1.1
Heading: 20.4, Pitch: -1, Roll: 1.6
Heading: 20.4, Pitch: -1, Roll: 1.6
Heading: 20.9, Pitch: -1, Roll: 1.4
Heading: 20.6, Pitch: -1, Roll: 1.2
Heading: 20.6, Pitch: -1, Roll: 1.2
Heading: 20.1, Pitch: -0.9, Roll: 1.5
Heading: 20.1, Pitch: -0.9, Roll: 1.5
Heading: 20.8, Pitch: -1, Roll: 1.5
Heading: 20.8, Pitch: -1, Roll: 1.5
Heading: 20.6, Pitch: -0.9, Roll: 1.5
Heading: 20.6, Pitch: -0.9, Roll: 1.5
